JURASSIC STORES 2013 LTD,,
UPDATED PRICELIST,,
Product Name,P/PCS,P/CTN
Desperado Beer 330ml,276.00,275.00
DEWARS 12 YRS Whisky,"3,473.00","3,456.00"
D Hills Carbernet Sauv 750ml,"1,680.00","1,670.00"
D Hills Chardonnay 750ml,"1,510.00","1,500.00"
D Hills Pinotage 750ml,"1,680.00","1,670.00"
Dompo sweet Red 750ml,"1,110.00","1,100.00"
Dompo sweet Rose 750ml,"1,110.00","1,100.00"
Dompo sweet White 750ml,"1,110.00","1,100.00"
Don Montego 250ml,606.00,603.00
Don Montego 750ml,"1,595.00","1,586.00"
Don Montego Brandy 500Ml,"1,150.00","1,145.00"
Drostdy Hof Claret  5L 1,"4,457.00","4,435.00"
Drostdy Hof Claret  750Ml,940.00,935.00
Drostdy Hof Grandcru 5L,"4,457.00","4,435.00"
Drostdy Hof Grandcru 750Ml,940.00,935.00
Drostdy Hof Sweet Red 750ml,940.00,935.00
Drostdy Hof Sweet White 750ML,940.00,935.00
Drost Hof Grand Cru 5ltr2,"3,850.00","3,835.00"
Drost Hof Sweet Red 3ltr,"3,000.00","2,990.00"
Drosty Hof Claret 5ltr 2,"4,000.00","3,990.00"
Drosty Hof Claret 750ml 2,940.00,935.00
Drosty Hof Sweet White 3ltr,"3,000.00","2,990.00"
Dunhill Double caps,445.00,445.00
Dunhill Switch,445.00,445.00
Embassy King,435.00,435.00
Embassy Light,435.00,435.00
Eristoff 375ml,350.00,350.00
Everest Vodka 250ml,127.00,126.00
Excellency 250Ml,200.00,200.00
Expresion Sweet Red 750ml,"1,140.00","1,135.00"
Expresion Sweet Rose 750ml,"1,050.00","1,050.00"
Expresion Sweet White 750ml,"1,050.00","1,050.00"
Extra Ordinary 250Ml,239.00,238.00
Extra Ordinary 750Ml,630.00,620.00
Famous Grouse 1Lt,"2,270.00","2,260.00"
Famous Grouse 350Ml,"1,000.00",990.00
Famous Grouse 4.5ltrs,"14,380.00","14,380.00"
Famous Grouse 750Ml,"1,760.00","1,750.00"
Fanta 350ml,40.00,40.00
Fanta Black Current  1.25L,120.00,120.00
Fanta black current 500ml,70.00,70.00
Fanta Orange 1.25ltr,120.00,120.00
Fanta Orange 2 Ltr,110.00,110.00
Fanta Orange 500ml,70.00,60.00
Fanta passion 500ml,60.00,70.00
Fanta  Pineapple 500ml,70.00,70.00
Faxe Beer 500Ml,283.00,282.00
Flirt  Apple 1L,"1,140.00","1,135.00"
Flirt Apple 200Ml,261.00,258.00
Flirt Apple 700ml,990.00,985.00
Flirt Chocolate 1L,"1,140.00","1,135.00"
Flirt Chocolate 350ml,350.00,345.00
Flirt Chocolate 700ml,"1,030.00",985.00
Flirt Lemon 1ltr,"1,140.00","1,135.00"
Flirt Lemon 700ml,850.00,985.00
Flirt Orange 1L,"1,380.00","1,375.00"
Flirt Orange 375Ml,350.00,345.00
Flirt Orange 700ml,990.00,985.00
Flirt Strawberry 1L,"1,140.00","1,135.00"
Flirt strawberry 375ml,360.00,360.00
Flirt Strawberry 700ml,"1,030.00",985.00
Flirt Vodka 1L,"1,140.00","1,385.00"
Flirt Vodka 375Ml,250.00,250.00
Flirt Vodka 700ml,990.00,990.00
Flirt Vodka Black 1lrt,"1,140.00","1,385.00"
Flirt Vodka  Silver 250ml,250.00,245.00
Flying Horse Gin 250ml,120.00,119.00
Formentera white 750,617.00,608.00
Fortune Brandy 250ML,116.00,115.00
Fragolino Bianco  750ml,"2,045.00","2,040.00"
Fragolino Rosso 750ml,"2,045.00","2,040.00"
freestyler mango &passion can,199.00,198.00
freestyler  orange &lemon can,199.00,198.00
Frontera Cabernet Sauv 1.5ltr,"2,138.00","2,128.00"
Frontera Cab Sav 750ml,"1,130.00","1,125.00"
Frontera Chardonnay 750ml,"1,130.00","1,125.00"
Frontera Late Harvest 750ml,"1,130.00","1,125.00"
Frontera Merlot 750ml,"1,130.00","1,125.00"
Frontera Sweet Red 750ml,"1,130.00","1,125.00"
Fronterra Cabarnet Sauv Brush 250Ml,250.00,250.00
Fronterra  Sauv Blanc 750Ml,"1,130.00","1,125.00"
Fronterra Shiraz 750Ml,980.00,"1,125.00"
Furaha brandy 250ml,190.00,188.00
Gato Negro Sweet Red 750,950.00,945.00
Gato Negro Sweet  White  750,935.00,930.00
General meakins 250ml,218.00,217.00
General Meakins 750ml,640.00,635.00
Gibson Gin 1 ltr,"1,450.00","1,444.00"
Gibsons Clear 750ml,"1,270.00","1,260.00"
Gibsons Pink 750ml,"1,535.00","1,530.00"
Gilbeys 1/2,590.00,588.00
Gilbeys 1/4,425.00,423.00
Gilbeys 3/4,"1,267.00","1,261.00"
Gilbeys mixedberry 250ml,425.00,423.00
Gilbeys mixedberry 350ml,590.00,588.00
Gilbeys Mixed Berry 750ml,"1,273.00","1,261.00"
GIN MG  750ML,"1,400.00","1,400.00"
Glass Pt6 Satco,44.00,44.00
Glendale whisky 1ltr,"2,300.00","2,288.00"
Glendale whisky 750ML,"1,725.00","1,715.00"
Glenfiddich 12yrs 1l,"8,520.00","8,480.00"
Glenfiddich 12yrs 750ml,"6,150.00","6,120.00"
Glenfiddich 15yrs 1ltr,"10,990.00","10,990.00"
Glenfiddich 15yrs 750ml,"8,790.00","8,750.00"
Glenfiddich 18 yrs 750ml,"13,205.00","13,145.00"
Glenlivet 12yrs 1L,"8,520.00","8,450.00"
Glenlivet 12yrs 750ml,"6,000.00","6,120.00"
GLENLIVET 15YRS 750ML,"4,950.00","4,950.00"
GLENLIVET RESERVE 750ML,"3,700.00","3,700.00"
GOFRUIT APPLE 1LTR,130.00,127.00
GOFRUIT LEMON MINT 1LTR,130.00,127.00
GOFRUIT MANGO 1LTR,130.00,127.00
GOFRUIT MULTI-FRUIT 1LTR,130.00,127.00
GOFRUIT ORANGE 1 LTR,130.00,130.00
Gold Seal 16%,195.00,194.00
Gordon Gin 375ml,874.00,865.00
GORDON PINK 700ML,"1,914.00","1,895.00"
gordons dry & tonic 330ml,199.00,198.00
Gordons Gin 1 ltr,"2,371.00","2,348.00"
Gordons Gin 750,"1,997.00","1,978.00"
Gordons Orange 700ml,"1,914.00","1,895.00"
Gordons Pink Gin 1L,"2,280.00","2,348.00"
gordons pink & tonic 330ml,199.00,198.00
Grade France Brut 750ml,"2,050.00","2,050.00"
Grade France Ice 750ml,"1,600.00","1,590.00"
Grade rose sparkling wine 750ml,"1,110.00","1,105.00"
Grade semi sweet sparkling wine 750,"1,147.00","1,140.00"
Grand Master's Whisky 750,625.00,620.00
Grants 1/2,735.00,730.00
Grants 1l,"1,900.00","1,890.00"
Grants Select Reserve 750ml,"1,850.00","1,850.00"
Grants Tripple 750ml With Glass,"1,630.00","1,615.00"
Grants  with Box 1 ltr,"2,245.00","2,235.00"
Grants with glass 1ltr,"1,980.00","1,950.00"
Grants With Glass 750ml,"1,810.00","1,800.00"
Grants Without  Glass 3/4,"1,675.00","1,670.00"
