lane_text,lane_code,product,tonnage,rate
NBO F24 . BUNGOMA 30T KEG,F24,KEG,30T,159262.92
KBLNBO F24- DURUBURU 307 KEG,F24,KEG,24T,20148.07
NSO F24. CHANGAMWE 30T KEG,F24,KEG,30T,103918.95
F24. CHUKA 407 KEG,F24,KEG,24T,73434.94
NBO F24- DANOORA 30T KEG,F24,KEG,30T,17044.56
KBLNAO F24 - DONYO 30T KEG,F24,KEG,30T,33213.38
NBO F24 - EMALI 430T KEG,F24,KEG,44T,44499.46
NBO F24 - EMBU 30T KEG,F24,KEG,30T,37824.0
NBO F24 - GITHURAI30T KEG,F24,KEG,30T,20148.07
NBO F24 - KAGIO 30T KEG,F24,KEG,30T,46688.0
NBO F24 - KANGEMA SOT KEG,F24,KEG,24T,44976.17
NBO F24 - KAPSABET 30T KEG,F24,KEG,30T,125744.63
NBO F24 - KARATINA 307 ki KEG,F24,KEG,24T,58504.35
NBO F24 - KERICHO 307 KEG,F24,KEG,24T,104799.17
NBO F24 - KEMUGOYA KEG,F24,KEG,24T,41486.87
NO F24 - KIAMBU 30T KEG,F24,KEG,30T,17251.26
NBO F24 - KIANYAGA 30T KEG,F24,KEG,30T,56071.17
NGO F24 - KIBERA JOT KEG,F24,KEG,24T,20146.07
NBO F24 - KIBWEZI30T KEG,F24,KEG,30T,80510.65
NBO F24 - KIKUYU 307 KEG,F24,KEG,24T,26658.37
NBO F24 - KINAMBA 30T KEG,F24,KEG,30T,96956.15
NAO F24 - KIAITIU BOT KEG,F24,KEG,24T,58148.03
NBO F24 - KISH 30T KEG,F24,KEG,30T,219237.53
NBO F24 - KISUMU 30T KEG,F24,KEG,30T,136340.26
NBO F24 - KITALE JOT KEG,F24,KEG,24T,92715.22
NBO F24 - KITENGELA 30T KEG,F24,KEG,30T,28117.98
NBO F24 - KITHYUKO 30T KEG,F24,KEG,30T,58325.43
NBO F24 - LIMUAU 30T KEG,F24,KEG,30T,23743.62
NBO F24 - MACHAK T KEG,F24,KEG,24T,35042.89
NBO F24 - MARSABIT 30T KEG,F24,KEG,30T,200376.83
NBO F24 - MATHARE JOT KEG,F24,KEG,24T,20148.07
