lane_text,lane_code,product,tonnage,rate
LKSM F24. ELOORET JOT BEER,F24,BEER,24T,55014.56
LKSM F24- ELOORET THT 307 BEER,F24,BEER,24T,924.14
F24.KSM-EMALI- BEER,F24,BEER,24T,186209.31
F24 -KSM-EMBU - BEER,F24,BEER,24T,146244.45
F24-KSM-GATUNOU - MEER. 30T BEER,F24,BEER,30T,116672.25
F24KSM -GIKOMBA . BEER,F24,BEER,24T,137254.74
F24-KSM-HURUMA. BEER,F24,BEER,24T,106557.69
F24 .KSM-ISIOLO - BEER,F24,BEER,24T,152169.34
KSM F24-ITEN 301 NEER BEER,F24,BEER,24T,65903.37
F24-KSM JUJA. BEER,F24,BEER,24T,170593.47
KBLKSM F24. KAKAMEGA 307 BEER,F24,BEER,24T,25625.2
F24 -KSI-KAVOLE. BEER,F24,BEER,24T,123197.35
KBLKSM F24. KISUMU SOT BEER,F24,BEER,24T,15255.65
KALKSM F24-- KITALE 30T BEER,F24,BEER,30T,67930.63
F24 -KSM-LIMURU . BEER,F24,BEER,24T,103238.4
F24 -KSM -MAKUTANO - BEER,F24,BEER,24T,148803.15
KBLKSM F24. MERU 307 BEER,F24,BEER,24T,181132.49
F24 -KSM -NAIROBI- BEER,F24,BEER,24T,116376.0
F324 -K5M -NAIRODI THT - OCER- 307 BEER,F32,BEER,30T,116376.0
KSM F24- NAROK 30T BEER,F24,BEER,30T,73687.7
XSM F24 - NKUBU 30T BEER,F24,BEER,30T,158283.03
F24 -KSM NAS INDUST AREA. BEER,F24,BEER,24T,421.35
KOLKStA F24- AUIAU 307 ALER BEER,F24,BEER,24T,128173.51
KOLKSM F24- THIKA 30T BEER,F24,BEER,30T,138245.84
F24 -KSM-VOl- BEER,F24,BEER,24T,219264.65
F24 -KSM-ATHIRIVEN - BEER,F24,BEER,24T,62392.76
NSM F24- ELDORET 7.51 BEER,F24,BEER,24T,23671.32
F24_KSM-GATUNDU- BEER,F24,BEER,24T,57843.72
F24 -K5M-ISIOLO - BEER,F24,BEER,24T,29.25
F24 -KSM-JUIA- BEER,F24,BEER,24T,264.29
KSM F24- KAGIO 7.57 BEER,F24,BEER,24T,717.76
KSM F20- KAKAMIGA 7.57 BEER,F20,BEER,20T,34679.69
F24 -KSM -KAVOLE - BEER,F24,BEER,24T,421.35
KBLKSM F24- KERICHO 7.57 BEER,F24,BEER,24T,265.22
KBLKSM F24 - KISH 7.57 BEER,F24,BEER,24T,879.02
KBLKSM F24 - KISUMU AYOTI 7.51 BEER,F24,BEER,24T,817.44
KSM F24 - LIMURU 7.5T BEER,F24,BEER,7.5T,354.45
F24-KSM-NAIROBI THT - BEER,F24,BEER,24T,421.35
F24 -KSM-NANYUKI- BEER,F24,BEER,24T,553.32
f24-NAROK 7.57 BEER,,BEER,24T,39805.25
F24 -KSM-NAROK - BEER,F24,BEER,24T,36805.79
F24.KSM-NGONG- BEER,F24,BEER,24T,608.18
F24-KSM-RUINU - BEER,F24,BEER,24T,795.64
F24 -KSM-UKUNDA- BEER,F24,BEER,24T,120.88
F24 .KSM-BOMET- BEER,F24,BEER,24T,23112.52
F24-KSM-EMALI- BEER,F24,BEER,24T,74830.15
F24 -KSM-EMBU - BEER,F24,BEER,24T,67170.49
F24 -KSM-GATUNDU - BEER,F24,BEER,24T,54002.16
F24 -KSM-GIKOMBA - BEER,F24,BEER,24T,54263.25
F24 -K5M -HURUMA- BEER,F24,BEER,24T,54696.86
F24 -KSM -JUJA - BEER,F24,BEER,24T,60251.38
KSM F24 - KiStl PAUP BEER,F24,BEER,24T,21232.55
F24 -KSM-MAKUTANO - BEER,F24,BEER,24T,68566.42
F24 -KSM -NAIRODI- BEER,F24,BEER,24T,53671.63
F24 -KSM-NAIRODI THT - BEER,F24,BEER,24T,55159.96
F24 -KSM -NGONG - BEER,F24,BEER,24T,48601.94
F24--SM -NYALI- BEER,F24,BEER,24T,124237.64
F24-KSM -RONGAI- BEER,F24,BEER,24T,55159.96
F24-KSM -RUIRU - BEER,F24,BEER,24T,59206.99
F24-KSM -TALA - BEER,F24,BEER,24T,68044.22
F24 -KSM-URUNDA- BEER,F24,BEER,24T,127370.83
F24 -KSM -VOl- BEER,F24,BEER,24T,100020.76
F24- DOMET 147 KEG,F24,KEG,24T,40574.62
KSM F24- CHUKA 2AT KEG,F24,KEG,24T,125700.16
KSM F24 - IKUTHA 147 KEG,F24,KEG,24T,135229.32
bLKSM F24- KAKAMIGA 147 KEG,F24,KEG,24T,47793.24
KBLKSM F24 - KERICHO 24T KEG,F24,KEG,24T,25301.37
KOLKSM F24- KIAMAU 14T KEG,F24,KEG,14T,87626.95
KSM F24 - KIKUYU 147 KEG,F24,KEG,24T,67635.33
F24 - KISUMU 147 KEG,F24,KEG,24T,12558.63
KBLKSM F24 - KITUI14T KEG,F24,KEG,14T,131756.33
KSM F24. IMURU 447 KEG,F24,KEG,24T,74599.81
KSM F24- MAUA 141 KEG,F24,KEG,24T,136215.63
KSM F24 - MIGORI 147 KEG,F24,KEG,24T,45002.41
KBLKSM F24 - MWIKI LAT KEG,F24,KEG,14T,91093.76
KSM F20- NAIVASHA 14T KEG,F20,KEG,14T,74718.07
KSM F24 - NAKURU LAT KEG,F24,KEG,14T,61194.77
KBLKSM F24 . NAROK 14T KEG,F24,KEG,14T,56809.55
KSM F24-NGONG 147 KEG,F24,KEG,24T,76933.78
KSM F24- NKUGU 147 KEG,F24,KEG,24T,117361.94
KSM F24 - RONGAI 1aT KEG,F24,KEG,24T,76128.8
KSM F24 - BUNGOMA 30T KEG,F24,KEG,30T,44466.13
KBLKSM F24 - CHUKA 30T KEG,F24,KEG,30T,163299.83
KBLKSM F24 - GILGIL 30T KEG,F24,KEG,30T,89006.35
RSM F24- KADSADET JOT KEG,F24,KEG,24T,38187.21
KSM F24 - KERICHO 30T KEG,F24,KEG,30T,39404.56
KSM F24 - KIAMBU 307 KEG,F24,KEG,24T,132675.14
KSM F24 - KIS 30T KEG,F24,KEG,30T,40329.76
KSM F24 - KITALE 30T KEG,F24,KEG,30T,67082.5
KSM F24 . KITENGELA 30T KEG,F24,KEG,30T,98824.36
KSM F24 - LIMURU 30T KEG,F24,KEG,30T,120342.7
KOLKSM F24 - NAKUAU 30T KEG,F24,KEG,30T,65079.31
KSM F24 - NAADK 307 KEG,F24,KEG,24T,66141.43
KSM F24 - NGONG 307 KEG,F24,KEG,24T,134341.01
KSM F24 - NIORO 20T KEG,F24,KEG,20T,60800.92
F24 - NYAHURURU 30T KEG,F24,KEG,30T,71994.72
KSM F24 - HUNGOMA 7 STRIG KEG,F24,KEG,24T,442.63
KSM F264 - CHUKA 7.5T KEG,F26,KEG,7.5T,83811.39
KSM F24 - DANDORA 7.51 KEG,F24,KEG,24T,606.52
KSM F24 - GILGIL 7.51 KEG,F24,KEG,24T,16.29
KSM F24 - IKUTHA 7.51 KEG,F24,KEG,24T,379.96
KEM F24 - JUJA 7.57 KEG,F24,KEG,24T,68132.61
KSM F24- FAPSADET 7ST KEG,F24,KEG,24T,16286.5
KBLKSM F24- KISI7.5T KEG,F24,KEG,7.5T,23658.89
RGM F24 - KITALE 7.5T KEG,F24,KEG,7.5T,213.01
KBLKSM F24 - LIMURU 7.5T KEG,F24,KEG,7.5T,56630.51
KSM F24 - MAUA 7.51 KEG,F24,KEG,24T,86116.5
KBLKSM F24- MWEA 7.57 KEG,F24,KEG,24T,75641.74
KSM F24- MWIKi 7.51 KEG,F24,KEG,24T,994.72
KBLKSM F24- NAKUAU 7.51 KEG,F24,KEG,24T,501.12
KSM F24 - NAROK 7.57 KEG,F24,KEG,24T,491235.19
KBLKSM F24- NGONG 7.51 KEG,F24,KEG,24T,63708.93
KBLKSM F24 - NKUBU 7.57 KEG,F24,KEG,24T,82475.32
KSM F24. NYAHUAURU 2.51 KEG,F24,KEG,24T,357.48
KBLKSM F24- THIKA 7.5T KEG,F24,KEG,7.5T,71992.36
F24-kSM-BOMEY - SPINITS - 147 SPIRITS,F24,SPIRITS,24T,31400.43
F24 - KSM- ELDORET- SPIRITS,F24,SPIRITS,24T,29563.32
F24-KSM-KITHYUKO EG-SPIRITS,F24,SPIRITS,24T,103472.46
F24 - KSM- LOKICHOGIO - SPIRITS,F24,SPIRITS,24T,141137.53
F24 - KSM- MAKONG- ESPiNnIITS - 147 SPIRITS,F24,SPIRITS,24T,85877.17
F24 - KSM- MAUA EB- SPIRITS,F24,SPIRITS,24T,107513.85
KSM F24 - NAIROMI 147 SPIRIT SPIRITS,F24,SPIRITS,24T,74059.42
KSM F24 - NAIVASHA 147 SPINIT SPIRITS,F24,SPIRITS,24T,63409.98
KSM F24- NAKUAU LAT SPIRIT SPIRITS,F24,SPIRITS,14T,43504.54
F24 - KSM - NAKURU EB - SPIRITS,F24,SPIRITS,24T,41804.54
F24- KSM. NAKURU . SPIRITS,F24,SPIRITS,24T,41504.54
F24.KSM- NAROKEB- SPIAITS - 147 SPIRITS,F24,SPIRITS,24T,47033.97
KSM F24- NYAHURUAY 147 SPIRIT SPIRITS,F24,SPIRITS,24T,568.71
F24- KS - NYALI- SPIRITS,F24,SPIRITS,24T,172158.85
F24- KSM- RUIRU EG- SPIRITS,F24,SPIRITS,24T,81468.11
KBLKSM F24- BOMET 307 SPIRIT SPIRITS,F24,SPIRITS,24T,48696.27
F24 - KSM - BOMET- SPIRITS,F24,SPIRITS,24T,48686.27
KBLKSM F24 - 307 SPIRIT SPIRITS,F24,SPIRITS,24T,42052.19
F24- KSM - BURUBURU - SPIRITS,F24,SPIRITS,24T,121071.63
F24 - KSM - ELDORET - SPIRITS,F24,SPIRITS,24T,45723.02
F24- KSM- GATUNOU- SPIRITS,F24,SPIRITS,24T,136532.13
F24 - KSM - JUJAEQ- SPIRIT- 3S07 SPIRITS,F24,SPIRITS,24T,130403.15
KSM F24 . KAPSAQET 30T SPIRIT SPIRITS,F24,SPIRITS,30T,32339.7
KSM F24 - KERICHO 30T SPIRIT SPIRITS,F24,SPIRITS,30T,30486.65
KBLKSM F24 - KISH 307 SPIRIT SPIRITS,F24,SPIRITS,24T,40596.9
KSM F24 - KISUMU JOT SPIRIT SPIRITS,F24,SPIRITS,24T,267.9
KOLKSM f24- KITALE 207 SPIRIT SPIRITS,,SPIRITS,24T,46684.68
F24 - KSM- MAKUTANO- SPIRITS,F24,SPIRITS,24T,148663.07
F24- KSM - MATHAME EO - SPIRITS,F24,SPIRITS,24T,119146.04
F24 - KSM- MAUA EB - SPIRITS,F24,SPIRITS,24T,169562.85
F24 - KSM- MERU - SPIRITS,F24,SPIRITS,24T,180992.97
KBLKSM F24 . MIGORI 30T SPIRIT SPIRITS,F24,SPIRITS,30T,71452.8
F24- KiM- MOMBAS-A SPIA- I3T0ST SPIRITS,F24,SPIRITS,5T,256559.05
KBLKSM F24- NAIROBI 307 SPIRIT SPIRITS,F24,SPIRITS,24T,116235.88
F24 - KSM- NAIROBI THT. SPIRITS,F24,SPIRITS,24T,116235.88
F24- KSM- NAROK Eft- SPIRITS,F24,SPIRITS,24T,73547.58
F24- KSM. NGONG . SPIRITS,F24,SPIRITS,24T,116592.13
F24- KSM- NYERI - SPIRITS,F24,SPIRITS,24T,124182.21
F24- KSM-TALA- SPIRITS,F24,SPIRITS,24T,147478.0
F24. KSM.- THIKA . SPIRITS,F24,SPIRITS,24T,138105.71
F24- KSM- VOL. SPIRITS,F24,SPIRITS,24T,197302.08
F24 - KSM - ATHI RIVER - SPIRITS,F24,SPIRITS,24T,696.17
KSM F24 - BUNGOMA 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,331.67
KBLKSM F24- BUSIA 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,24849.23
F24 KS. DANDORA EB. SPIRITS,F24,SPIRITS,24T,39495.19
F24- KM - KIBERA UD - SPIRITS,F24,SPIRITS,24T,346.46
MSM F24 . KISH 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,20905.84
F24- RSM - MAUA EB. SPIRITS,F24,SPIRITS,24T,225.09
KBLKSM F24. NAKURU 7.ST SPIRIT SPIRITS,F24,SPIRITS,24T,92366.86
KBLKSM F24. NIORO 7.51 SPIRIT SPIRITS,F24,SPIRITS,24T,93394.75
F24 - KSM- NIORG EB - SPIRITS,F24,SPIRITS,24T,898.22
F24.KSM-NABCITYCENTEB-SPIRITS,F24,SPIRITS,24T,346.46
F24- KSM-NAUINDUST AREA -SPIRITS,F24,SPIRITS,24T,59356.31
F24- KSM- NYAHURUAU - SPIRITS,F24,SPIRITS,24T,835.51
F24- RSM. NYERI- SPIRITS,F24,SPIRITS,24T,211.71
F24-KSM.BURUBURU SPIRITS,F24,SPIRITS,24T,36139.08
F24 - KS. MERU - SPIRITS,F24,SPIRITS,24T,69324.56
F24 - KSM- MWIKI EB - SPIRITS,F24,SPIRITS,24T,55943.25
F24 . KSM- NAIVASHA EB - SPIRITS,F24,SPIRITS,24T,39478.01
F24 - KSI NAKURU - SPIRITS,F24,SPIRITS,24T,50292.53
F24- KSM. NJORO EB- SPIRITS,F24,SPIRITS,24T,29378.68
F24 - KSM- NYAHURURU - SPIRITS,F24,SPIRITS,24T,38694.72
F24 - KSM- RUIRU EB - SPIRITS,F24,SPIRITS,24T,59206.99
F24 . KSM.. TALA- SPIRITS,F24,SPIRITS,24T,68044.22
F24-BOC -ATHIRIVER - BEER,F24,BEER,24T,12163.64
F24 -BOC -DAGORETTI CORNER - BEER,F24,BEER,24T,421.35
F24-BOC -EMBU - BEER,F24,BEER,24T,32943.52
F24 BDC -GATUNDU . BEER,F24,BEER,24T,17159.99
F24 -AOC -JUJA- BEER,F24,BEER,24T,14607.0
F24 BOC -KAGIO- BEER,F24,BEER,24T,28901.88
F24 -BDC -KAYOLE - BEER,F24,BEER,24T,10840.93
F24 -BOC -MAKUTANO - BEER,F24,BEER,24T,24030.78
F24 -BDC -MOMBASA - BEER,F24,BEER,24T,93706.03
F24 -BOC -NAIRODI- BEER,F24,BEER,24T,20840.93
F24 -BOC -NANYUKI - BEER,F24,BEER,24T,45210.25
F24 -BDC -NKUBU - BEER,F24,BEER,24T,48209.63
F24 -BDC -NYAHURURU- BEER,F24,BEER,24T,43900.61
F24 BOC -NYAU- BEER,F24,BEER,24T,104301.52
F24 BDC -RONGAI- BEER,F24,BEER,24T,11832.97
F24 -BDC -RUAKA - BEER,F24,BEER,24T,10840.53
F24 -BOC -RUIRU - BEER,F24,BEER,24T,14147.72
F24 -BDC -UKUNDA - BEER,F24,BEER,24T,110506.46
F24 BOC -VOt- BEER,F24,BEER,24T,72479.42
F24-BOC-BUAUBUAU-BEER,F24,BEER,24T,16152.37
F24 -BDC -DAGORETTI CORNER - BEER,F24,BEER,24T,16152.37
F24 -BOC -ISIOLO - BEER,F24,BEER,24T,96391.1
F24 -BOC -KAREN THT -GCER- 207 BEER,F24,BEER,24T,36152.37
F24 -BOC -KITUI- REER- 307 BEER,F24,BEER,24T,56958.72
F24 -D0C -LIMURU - BEER,F24,BEER,24T,19203.69
F24 -BDC -MACHAKOS- IEER- JOT BEER,F24,BEER,24T,29629.76
F24 BDC -MAUA - BEER,F24,BEER,24T,95609.83
F24 -NDC -ME- RBEEUR - 307 BEER,F24,BEER,24T,79900.05
F24 -BDC -MOMBASA BEER,F24,BEER,24T,104782.48
F24 -BDC -NAROK - HEER - 307 BEER,F24,BEER,24T,53862.96
F24 -BOC -NKUBU . BEER,F24,BEER,24T,75465.17
F24-BOC -NYALI- BEER,F24,BEER,24T,139688.37
F24 -BOC -RUAKA- NEER- 407 BEER,F24,BEER,24T,26152.97
F24 -BDC -RUIRU - BEER,F24,BEER,24T,19336.3
F24 BDC -TALA. BEER,F24,BEER,24T,39020.68
F24 -BDC -IKUNDA. BEER,F24,BEER,24T,127054.88
F24 -BDC -VOl- BEER,F24,BEER,24T,84624.73
F24 BDC -BOMET- BEER,F24,BEER,24T,427.29
F24 -BDC -BURUAUAU - BEER,F24,BEER,24T,421.35
F24 -BDC -DIANI- BEER,F24,BEER,24T,86459.13
F24 -BOC -EMALI- DEER - 7.57 BEER,F24,BEER,24T,420.85
F24 -BDC -EMBU - BEER,F24,BEER,24T,29203.04
F24 -BDC -HURUMA - BEER,F24,BEER,24T,421.35
F24 -BDG -JUIA - BEER,F24,BEER,24T,264.29
F24-BOC -KAREN THT -BEER,F24,BEER,24T,421.35
F24 -BDC -LOKICHOGIO - BEER,F24,BEER,24T,134583.77
F24 -B-O MECRU - BEER,F24,BEER,24T,364.59
F24-BDC -NAIROBI THT - BEER,F24,BEER,24T,16085.22
F24 -BDC -NAIVASHA BEER,F24,BEER,24T,45.45
F24 -DOC -NYAHUAURU - MEER- 7.57 BEER,F24,BEER,24T,412.36
F24 -BDC -NYALI- BEER,F24,BEER,24T,79074.24
F24 -DC -RONGAI- BEER,F24,BEER,24T,433.64
F24 -BDC -THIKA- BEER,F24,BEER,24T,232.01
F24 -BDC -VOl- BEER,F24,BEER,24T,62405.62
F24-DDC -EMAL- BEER,F24,BEER,24T,36741.91
F24-RDC -ISIOLO - BEER,F24,BEER,24T,49927.42
F24-BDC -JUJA - BEER,F24,BEER,24T,25755.44
F24 -BDC -KAYOLE - BEER,F24,BEER,24T,10860.94
F24-BDC -LOKICHOGIO - BEER,F24,BEER,24T,98739.08
F24 -BDC -MACHAKOS - BEER,F24,BEER,24T,51327.91
F24 -BDC NAIROBI THT BEER,F24,BEER,24T,10860.94
F24 -BDC -NAROK - BEER,F24,BEER,24T,22923.5
F24 -BOC -RONGAI- BEER,F24,BEER,24T,10860.94
F24 -BOC .TALA. BEER,F24,BEER,24T,58008.04
F24 -ODC -THIKA - BEER,F24,BEER,24T,17661.54
F24 -NDC -UKUNDA - BEER,F24,BEER,24T,33183.2
F24- ADC. BABADOGO - SPIRITS,F24,SPIRITS,24T,10767.83
F24- BDC - BOMET - SPIRITS,F24,SPIRITS,24T,49973.34
F24- ADC - DAGORETTICORNEN-SPIRITS,F24,SPIRITS,24T,10767.59
F24- BDC - DANDORA C8 - SPIRITS,F24,SPIRITS,24T,10767.53
F24. BDC - ELDORET. SPIRITS,F24,SPIRITS,24T,556.97
F24- DC - EMGU - SPIRI- T14S7 SPIRITS,F24,SPIRITS,24T,32870.12
F24- BDC- EMBU EB- SPIRITS,F24,SPIRITS,24T,32870.12
F24- ADC- ISIOLO- SPIRITS,F24,SPIRITS,24T,61343.27
F24- DC - JUJA EB - SPIRITS,F24,SPIRITS,24T,14533.6
F24- ADC - KANGEMA EB - SPIRITS,F24,SPIRITS,24T,29012.19
F24 - BDC. KAREN THT - SPIRITS,F24,SPIRITS,24T,346.46
F24. BDC. KIBERA EB - SPIRITS,F24,SPIRITS,24T,10767.53
F24 - BOC - KITHYUKO EB - SPIRITS,F24,SPIRITS,24T,71767.06
F24 - HOC - KITUI - SPIRITS,F24,SPIRITS,24T,35696.61
F24- NDC LOKICHOGIO -SPiniTs- 1477 SPIRITS,F24,SPIRITS,24T,174354.8
F24- BOC. MAKONG- SEPIRNITIS - 147 SPIRITS,F24,SPIRITS,24T,17435.64
F29- HOC- MAKUTAND - 5PIRITS - 347 SPIRITS,F29,SPIRITS,30T,23957.36
F24- BOC - MATHARE EB- SPIRITS,F24,SPIRITS,24T,10767.53
F24 - BOG - MAUA- SPIRITS,F24,SPIRITS,24T,60626.59
F24 - BDC - MOMBASA - SPIRITS,F24,SPIRITS,24T,104044.43
F24- BOC - MWIKi EO - SPIRITS,F24,SPIRITS,24T,10767.53
F24- BDC- NAIROBI THT - SPIRITS,F24,SPIRITS,24T,10767.53
F24- DOG - NAIVASHA E1- SPIRITS,F24,SPIRITS,24T,25099.15
F24.- BOC - NAN-Y SPIURITSK - 1I4T SPIRITS,F24,SPIRITS,5T,45196.86
F24- BDC - NAROK EB . SPIRITS,F24,SPIRITS,24T,34523.52
F24- BDC- NGARA EB - SPITS- 147 SPIRITS,F24,SPIRITS,24T,10767.53
F24 - BDC - NKUBU - SPIRITS,F24,SPIRITS,24T,48136.24
F24- BDC- NAB CITY CENT EB - SPIRITS,F24,SPIRITS,24T,10767.53
F24.8DC . NABSHAIMOYO ES SPIRITS,F24,SPIRITS,24T,10767.53
F24 - BDC - RUIAU EB SPIRITS,F24,SPIRITS,24T,14074.33
F24- BDC- TALA- SPIRITS,F24,SPIRITS,24T,25319.6
F24- BDC - BARADOGO - SPIRITS,F24,SPIRITS,24T,16012.24
F24- NOC - BOMIET - SPIRITS,F24,SPIRITS,24T,78287.5
F24-OOC- OAGORETTICORNER. SPIRITS,F24,SPIRITS,24T,16012.24
F24- BOC - DANDORA E6 - SPIRITS,F24,SPIRITS,24T,16012.24
F24- BDC. ELOORET- SPIRITS,F24,SPIRITS,24T,109474.54
F24- BOC- EMBU - SPIRITS,F24,SPIRITS,24T,51056.23
F24- BDC. EMBU EB. SPIRITS,F24,SPIRITS,24T,51056.23
F24 . BDC . GITHUNGURI E6 - SPIRITS,F24,SPIRITS,24T,26438.31
F24 - DDC- KANGEMA EB - SPIRITS,F24,SPIRITS,24T,44835.09
F24- BOC KAWANGWARE EB SPIRITS,F24,SPIRITS,24T,16012.24
f24- BDC - KEAICHO EB - SPIRITS,,SPIRITS,24T,90197.3
F24 - BOC - KITHYUKO EB - SPIRITS,F24,SPIRITS,24T,49278.76
F24 - BOC - MACHAKOS - SPIRITS,F24,SPIRITS,24T,29489.64
F24 - BDC - MERU - SPIRITS,F24,SPIRITS,24T,79768.72
F24 - BOC - MOMBASA- SPIRITS,F24,SPIRITS,24T,104642.36
F24 - BDC - NAIVASHA EB - SPIRITS,F24,SPIRITS,24T,38525.07
F24 BOC - NGONG - SPIRITS,F24,SPIRITS,24T,21048.41
F24 - BOC - NKUBU - SPIRITS,F24,SPIRITS,24T,75325.05
F24 - BOC- NYAHURURU - SPIRITS,F24,SPIRITS,24T,65757.24
F240 - IOC - NYALI- SPIRITS,F24,SPIRITS,24T,107593.43
F24 - BOC- AUIRU ED - SPIRITS,F24,SPIRITS,24T,21344.65
F24 - BOC -ATHI RIVER- SPIRITS,F24,SPIRITS,24T,696.17
F24 - BDC- PANDORA EB - SPIRITS,F24,SPIRITS,24T,346.46
F24 - BOC- EMBU - SPIRITS,F24,SPIRITS,24T,29170.76
