page,raw_line,lane_candidate,lane_clean,matched_lane,ocr_rate,matched_rate,diff
10,"KGL NBO F24- NANOK JOT BLER BEER NEO RIFT NAROK jor 41,275.44 37,147.90 4,127.44",KGL NBO F24- NANOK JOT BLER BEER,KGL NBO F24 NANOK JOT BLER BEER,KBL NBO F20  NAROK 75T BEER,41275.44,467.93,40807.51
10,"[KBLNBOF24-NGONGB3EOETRBE E|R GC NAIROBI |NGONG 30T 27,066.64 24,359.98 2,706.66",[KBLNBOF24-NGONGB3EOETRBE E,KBLNBOF24NGONGB3EOETRBE E,KBL NBO F20  NGONG 30T BEER,27066.64,978.21,26088.43
10,"KBL NBO F24 - NJORO 401 GEER NBO MOUNTAIN INJORO 0 51,165.39 73,051.55 6,116.44","KBL NBO F24 - NJORO 401 GEER NBO MOUNTAIN INJORO 0 51,165.39 73,051.55 6,116.44",KBL NBO F24  NJORO 401 GEER NBO MOUNTAIN INJORO 0 5116539 7305155 611644,,51165.39,,
10,"KALNBO F24- NKUBU JOT BEER NEO MOUNTAIN [NKUDU 30T 86,540.65 77,886.59 8,654.07",KALNBO F24- NKUBU JOT BEER,KALNBO F24 NKUBU JOT BEER,KBL NBO F20  NKUBU 75T BEER,86540.65,133.68,86406.97
10,"nko NAIROBI [NFB NASRA EB 30T 14,708.80 14,318.92 1,479.98","nko NAIROBI [NFB NASRA EB 30T 14,708.80 14,318.92 1,479.98",NKO NAIROBI NFB NASRA EB 30T 1470880 1431892 147998,,14708.8,,
10,"NEO RIFT NYAHURURU 30T 78,819.44 70,937.50 1,091,94|","NEO RIFT NYAHURURU 30T 78,819.44 70,937.50 1,091,94",NEO RIFT NYAHURURU 30T 7881944 7093750 109194,,78819.44,,
10,"KBL NSO F24- NYALI30T BEER BEER NO COAST NYALI 30T 189,644.62 270,600.16 16,964.46",KBL NSO F24- NYALI30T BEER,KBL NSO F24 NYALI30T BEER,KBL NBO F20  NYALI 30T BEER,189644.62,859.08,188785.54
10,"KBL NBO F24. NYERI30T BEER NBO MOUNTAIN [NVERI 307! $9,208.23 $3,287.41 5,920.82",KBL NBO F24. NYERI30T BEER,KBL NBO F24 NYERI30T BEER,KBL NBO F20  NYERI 30T BEER,9208.23,775.74,8432.49
10,"Kil, NBO F24 - OTHAYA JOT DEER BEER NEO MOUNTAIN [OTHAYA 307! 49,452.75 44,507 48 4,945.20","Kil, NBO F24 - OTHAYA JOT DEER BEER",KIL NBO F24  OTHAYA JOT DEER BEER,KBL NBO F20  OTHAYA 75T BEER,49452.75,950.0,48502.75
10,"KBL NBO F24- RONGAI30T BEER nee [wag NAIROBI |Rongal 307! 17,263.63 15,537.25 1,726.36",KBL NBO F24- RONGAI30T BEER,KBL NBO F24 RONGAI30T BEER,KBL NBO F20  RONGAI 30T BEER,17263.63,975.11,16288.52
10,"Kal NOO F24- AUIRU JOT DEER IBEER NBO. MOUNTAIN [RUIRU 307) 17,439.73 15,695.84 “3,243,",Kal NOO F24- AUIRU JOT DEER IBEER,KAL NOO F24 AUIRU JOT DEER IBEER,KBL NBO F20  RUIRU 75T BEER,17439.73,725.33,16714.399999999998
10,"KGL NBO F24- TALA 307 BEER BEER OAST —_|TALA 307 32,979.00 29,601,10 3,297.90",KGL NBO F24- TALA 307 BEER,KGL NBO F24 TALA 307 BEER,KBL NBO F20  TALA 30T BEER,32979.0,11.23,32967.77
10,"KBL NBO F24- TAVETA 307 BEER NBO COAST _|TAVETA 30T 135,259.09 121,733.18 13,525.91",KBL NBO F24- TAVETA 307 BEER,KBL NBO F24 TAVETA 307 BEER,KBL NBO F20  TAVETA 30T BEER,135259.09,686.97,134572.12
10,"KBL NGO F24- THIKA 207 GEER BEER NBO MOUNTAIN [THIKA 307! 23,278.04 20,950.24 2,927.90",KBL NGO F24- THIKA 207 GEER BEER,KBL NGO F24 THIKA 207 GEER BEER,KBL NBO F20  THIKA 75T BEER,23278.04,462.5,22815.54
10,"KBL NBO F24- UKUNDA 30T BEER Jacek NGO COAST [UKUNDA 307] 142,485.00 120,146.50 14,238.50",KBL NBO F24- UKUNDA 30T BEER,KBL NBO F24 UKUNDA 30T BEER,KBL NBO F20  UKUNDA 30T BEER,142485.0,158.36,142326.64
